bieming,daoyan,movie_name,ranking,score,score_num,url
穷尽一生，我们要学会的，不过是彼此拥抱。,"
                            导演: 托尼·凯耶 Tony Kaye   主演: 艾德里安·布洛迪 Adrien Brody / 马西...",超脱,109,8.8,167481,https://movie.douban.com/subject/5322596/
年度最佳date movie。,"
                            导演: 大卫·芬奇 David Fincher   主演: 本·阿弗莱克 Ben Affleck / 罗莎蒙...",消失的爱人,110,8.7,340844,https://movie.douban.com/subject/21318488/
有时候幸福需要等一等。 ,"
                            导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 汤姆·汉克斯 Tom Hanks...",幸福终点站,111,8.6,219960,https://movie.douban.com/subject/1292274/
大海啊，不全是水。,"
                            导演: 雅克·贝汉 Jacques Perrin / 雅克·克鲁奥德 Jacques Cluzaud   主演:...",海洋,112,9.0,97468,https://movie.douban.com/subject/3443389/
从没见过那么流氓的温柔，从没见过那么温柔的流氓。,"
                            导演: 北野武 Takeshi Kitano   主演: 北野武 Takeshi Kitano / 关口雄介 Yus...",菊次郎的夏天,113,8.7,175462,https://movie.douban.com/subject/1293359/
两张绝世的脸。 ,"
                            导演: 程小东 Siu-Tung Ching   主演: 张国荣 Leslie Cheung / 王祖贤 Joey W...",倩女幽魂,114,8.6,240494,https://movie.douban.com/subject/1297447/
恐怖分子的“秋菊打官司”。,"
                            导演: 金秉祐 Byeong-woo Kim   主演: 河正宇 Jung-woo Ha / 李璟荣 Kyeong-y...",恐怖直播,115,8.7,209011,https://movie.douban.com/subject/21360417/
时代悲歌。,"
                            导演: 黑泽明 Akira Kurosawa   主演: 三船敏郎 Toshirô Mifune / 志村乔 ...",七武士,116,9.2,74904,https://movie.douban.com/subject/1295399/
Mr. I Don't Care其实也有Care的时候。,"
                            导演: 皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud   主演: ...",神偷奶爸,117,8.5,362689,https://movie.douban.com/subject/3287562/
岁月流逝，来日可追。,"
                            导演: 罗启锐 Alex Law   主演: 吴君如 Sandra Ng / 任达华 Simon Yam / 钟绍...",岁月神偷,118,8.6,299942,https://movie.douban.com/subject/3792799/
真相就在眼前。,"
                            导演: 詹姆斯·温 James Wan   主演: 雷·沃纳尔 Leigh Whannell / 加利·艾...",电锯惊魂,119,8.7,193620,https://movie.douban.com/subject/1417598/
像吃了苏打饼一样干脆的电影。,"
                            导演: 保罗·格林格拉斯 Paul Greengrass   主演: 马特·达蒙 Matt Damon / ...",谍影重重3,120,8.7,175727,https://movie.douban.com/subject/1578507/
曾经的那段美好会沉淀为一辈子的记忆。,"
                            导演: 米林宏昌 Hiromasa Yonebayashi   主演: 志田未来 Mirai Shida / 神木...",借东西的小人阿莉埃蒂,121,8.7,210063,https://movie.douban.com/subject/4202302/
传奇，不是每个人都可以拥有。,"
                            导演: 爱德华·兹威克 Edward Zwick   主演: 安东尼·霍普金斯 Anthony Hopki...",燃情岁月,122,8.8,145965,https://movie.douban.com/subject/1295865/
梦的勾结。,"
                            导演: 今敏 Satoshi Kon   主演: 林原惠美 Megumi Hayashibara / 古谷彻 T...",红辣椒,123,8.8,125855,https://movie.douban.com/subject/1865703/
爱，是个动词。,"
                            导演: 理查德·柯蒂斯 Richard Curtis   主演: 休·格兰特 Hugh Grant / 柯林...",真爱至上,124,8.5,300469,https://movie.douban.com/subject/1292401/
生活在自己的世界里，也可以让周围的人显得可笑和渺小。,"
                            导演: 巴瑞·莱文森 Barry Levinson   主演: 达斯汀·霍夫曼 Dustin Hoffman ...",雨人,125,8.6,204762,https://movie.douban.com/subject/1291870/
上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,"
                            导演: 丹尼·鲍尔 Danny Boyle / 洛芙琳·坦丹 Loveleen Tandan   主演: 戴夫...",贫民窟的百万富翁,126,8.5,387029,https://movie.douban.com/subject/2209573/
关于连环杀人悬案的集体回忆。,"
                            导演: 奉俊昊 Joon-ho Bong   主演: 宋康昊 Kang-ho Song / 金相庆 Sang-kyun...",杀人回忆,127,8.6,201991,https://movie.douban.com/subject/1300299/
电影诗。,"
                            导演: 王家卫 Kar Wai Wong   主演: 张国荣 Leslie Cheung / 张曼玉 Maggie C...",东邪西毒,128,8.6,242045,https://movie.douban.com/subject/1292328/
一个针管引发的血案。,"
                            导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 盖·皮尔斯 Guy Pearce /...",记忆碎片,129,8.5,270819,https://movie.douban.com/subject/1304447/
永远看不腻的喜剧。,"
                            导演: 杰拉尔·乌里 Gérard Oury   主演: 路易·德·菲耐斯 Louis de Funès...",虎口脱险,130,8.9,104361,https://movie.douban.com/subject/1296909/
